rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate,lastName,firstName,country_cpi,country_gdp,country_population,country_lat,country_long
721,3.9,Diversified,Fernando Roberto Moreira Salles,76.0,Brazil,Sao Paulo,"Banking, minerals",Diversified,Brazil,False,M,5/29/1946 0:00,Moreira Salles,Fernando Roberto,167.4,"$1,839,758,040,766 ",212559417.0,-14.235004,-51.92528
721,3.9,Diversified,Pedro Moreira Salles,63.0,Brazil,Sao Paulo,"Banking, minerals",Diversified,Brazil,False,M,10/20/1959 0:00,Moreira Salles,Pedro,167.4,"$1,839,758,040,766 ",212559417.0,-14.235004,-51.92528
721,3.9,Gambling & Casinos,Gabe Newell,60.0,United States,Seattle,Videogames,Gambling & Casinos,United States,True,M,11/3/1962 0:00,Newell,Gabe,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
721,3.9,Fashion & Retail,Alfred Oetker,56.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,False,M,1/1/1967 0:00,Oetker,Alfred,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
721,3.9,Fashion & Retail,Carl Ferdinand Oetker,50.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,False,M,10/3/1972 0:00,Oetker,Carl Ferdinand,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
721,3.9,Fashion & Retail,Julia Oetker,44.0,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,False,F,1/26/1979 0:00,Oetker,Julia,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
721,3.9,Manufacturing,Ruan Hongliang & family,62.0,China,Jiaxing,Glass,Manufacturing,China,True,M,1/1/1961 0:00,Ruan,Hongliang,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
721,3.9,Finance & Investments,Mark Stevens,63.0,United States,Steamboat Springs,Venture capital,Finance & Investments,United States,True,M,2/17/1960 0:00,Stevens,Mark,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
721,3.9,Finance & Investments,Tsai Hong-tu,70.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,False,M,8/1/1952 0:00,Tsai,Hong-tu,,,,,
721,3.9,Food & Beverage,Nusli Wadia,79.0,India,Mumbai,Consumer goods,Food & Beverage,India,False,M,2/15/1944 0:00,Wadia,Nusli,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
721,3.9,Healthcare,Wu Yiling,73.0,China,Shijiazhuang,Pharmaceuticals,Healthcare,China,True,M,10/24/1949 0:00,Wu,Yiling,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
721,3.9,Manufacturing,Yu Renrong,57.0,China,Ningbo,Semiconductors,Manufacturing,China,True,M,4/1/1966 0:00,Yu,Renrong,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
721,3.9,Healthcare,Zhu Baoguo & family,60.0,China,Shenzhen,Pharmaceuticals,Healthcare,China,True,M,4/25/1962 0:00,Zhu,Baoguo,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
748,3.8,Service,Rahul Bhatia,63.0,India,Delhi,Aviation,Service,India,False,M,6/10/1959 0:00,Bhatia,Rahul,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
748,3.8,Construction & Engineering,Francesco Gaetano Caltagirone,80.0,Italy,Rome,"Cement, diversified",Construction & Engineering,Italy,True,M,3/21/1943 0:00,Caltagirone,Francesco Gaetano,110.62,"$2,001,244,392,042 ",60297396.0,41.87194,12.56738
748,3.8,Media & Entertainment,Barry Diller,81.0,United States,New York,Online media,Media & Entertainment,United States,True,M,2/2/1942 0:00,Diller,Barry,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
748,3.8,Finance & Investments,Wesley Edens,61.0,United States,New York,Investments,Finance & Investments,United States,True,M,10/31/1961 0:00,Edens,Wesley,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
748,3.8,Finance & Investments,Stephen Feinberg,63.0,United States,New York,Private equity,Finance & Investments,United States,True,M,3/29/1960 0:00,Feinberg,Stephen,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
748,3.8,Service,Rakesh Gangwal,69.0,United States,Miami,Airline,Service,United States,True,M,7/25/1953 0:00,Gangwal,Rakesh,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
748,3.8,Food & Beverage,Joseph Grendys,61.0,United States,Chicago,Poultry processing,Food & Beverage,United States,True,M,12/1/1961 0:00,Grendys,Joseph,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
748,3.8,Media & Entertainment,Martha Ingram & family,87.0,United States,Nashville,"Book distribution, transportation",Media & Entertainment,United States,False,F,8/20/1935 0:00,Ingram,Martha,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
748,3.8,Automotive,Li Xiang,41.0,China,Beijing,Electric vehicles,Automotive,China,True,M,10/1/1981 0:00,Li,Xiang,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
748,3.8,Real Estate,"H. Ross Perot, Jr.",64.0,United States,Dallas,Real estate,Real Estate,United States,False,M,11/7/1958 0:00,Perot,H. Ross,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
748,3.8,Real Estate,Chandru Raheja,82.0,India,Mumbai,Real estate,Real Estate,India,False,M,10/1/1940 0:00,Raheja,Chandru,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
748,3.8,Energy,Trevor Rees-Jones,71.0,United States,Dallas,Oil & gas,Energy,United States,True,M,8/12/1951 0:00,Rees-Jones,Trevor,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
748,3.8,Telecom,Yasumitsu Shigeta,58.0,Japan,Tokyo,Mobile phone retailer,Telecom,Japan,True,M,2/25/1965 0:00,Shigeta,Yasumitsu,105.48,"$5,081,769,542,380 ",126226568.0,36.204824,138.252924
748,3.8,Healthcare,Su Qingcan,54.0,China,Xiamen,Healthcare,Healthcare,China,True,M,1/1/1969 0:00,Su,Qingcan,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
748,3.8,Finance & Investments,Tsai Cheng-ta,73.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,False,M,4/1/1950 0:00,Tsai,Cheng-ta,,,,,
748,3.8,Service,Steven Udvar-Hazy,77.0,United States,Westlake,Aircraft leasing,Service,United States,True,M,2/23/1946 0:00,Udvar-Hazy,Steven,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
748,3.8,Manufacturing,Elizabeth Uihlein,77.0,United States,Lake Forest,Packaging materials,Manufacturing,United States,True,F,7/7/1945 0:00,Uihlein,Elizabeth,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
748,3.8,Manufacturing,Richard Uihlein,77.0,United States,Lake Forest,Packaging materials,Manufacturing,United States,True,M,8/27/1945 0:00,Uihlein,Richard,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Finance & Investments,Hayes Barnard,51.0,United States,Austin,Fintech,Finance & Investments,United States,True,M,2/15/1972 0:00,Barnard,Hayes,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Finance & Investments,William Berkley,76.0,United States,Coconut Grove,Insurance,Finance & Investments,United States,True,M,9/1/1946 0:00,Berkley,William,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Real Estate,Charles Cohen,71.0,United States,New York,Real estate,Real Estate,United States,False,M,2/8/1952 0:00,Cohen,Charles,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Real Estate,Yakir Gabay,56.0,United Kingdom,London,Real estate,Real Estate,Cyprus,True,M,4/13/1966 0:00,Gabay,Yakir,119.62,"$2,827,113,184,696 ",66834405.0,55.378051,-3.435973
766,3.7,Technology,Huang Li,59.0,China,Wuhan,Imaging systems,Technology,China,True,M,6/27/1963 0:00,Huang,Li,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
766,3.7,Logistics,Brad Jacobs,66.0,United States,Greenwich,Logistics,Logistics,United States,True,M,7/1/1956 0:00,Jacobs,Brad,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Real Estate,Ji Qi,56.0,China,Shanghai,"Hotels, motels",Real Estate,China,True,M,10/1/1966 0:00,Ji,Qi,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
766,3.7,Media & Entertainment,Jason Jiang,50.0,China,Shanghai,Advertising,Media & Entertainment,Singapore,True,M,1/1/1973 0:00,Jiang,Jason,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
766,3.7,Technology,Jim Kavanaugh,60.0,United States,St. Louis,IT provider,Technology,United States,True,M,10/17/1962 0:00,Kavanaugh,Jim,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Real Estate,Richard LeFrak & family,77.0,United States,New York,Real estate,Real Estate,United States,False,M,8/29/1945 0:00,LeFrak,Richard,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Finance & Investments,Mikhail Lomtadze,47.0,Kazakhstan,Almaty,Fintech,Finance & Investments,Georgia,True,M,10/17/1975 0:00,Lomtadze,Mikhail,182.75,"$180,161,741,180 ",18513930.0,48.019573,66.923684
766,3.7,Fashion & Retail,Tom Morris,68.0,United Kingdom,Merseyside,Retail,Fashion & Retail,United Kingdom,True,M,10/2/1954 0:00,Morris,Tom,119.62,"$2,827,113,184,696 ",66834405.0,55.378051,-3.435973
766,3.7,Manufacturing,Shigenobu Nagamori,78.0,Japan,Kyoto,Motors,Manufacturing,Japan,True,M,8/28/1944 0:00,Nagamori,Shigenobu,105.48,"$5,081,769,542,380 ",126226568.0,36.204824,138.252924
766,3.7,Finance & Investments,Daniel Och,62.0,United States,Miami Beach,Hedge funds,Finance & Investments,United States,True,M,1/27/1961 0:00,Och,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Fashion & Retail,Horst Paulmann & family,88.0,Chile,Santiago,Retail,Fashion & Retail,Chile,True,M,1/1/1935 0:00,Paulmann,Horst,131.91,"$282,318,159,745 ",18952038.0,-35.675147,-71.542969
766,3.7,Service,Anthony Pritzker,62.0,United States,Los Angeles,"Hotels, investments",Service,United States,False,M,1/7/1961 0:00,Pritzker,Anthony,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Technology,John Sall,75.0,United States,Cary,Software,Technology,United States,True,M,4/4/1948 0:00,Sall,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Food & Beverage,Howard Schultz,69.0,United States,Seattle,Starbucks,Food & Beverage,United States,True,M,7/19/1953 0:00,Schultz,Howard,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Fashion & Retail,Richard Schulze,82.0,United States,Naples,Best Buy,Fashion & Retail,United States,True,M,1/2/1941 0:00,Schulze,Richard,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
766,3.7,Real Estate,Yitzhak Tshuva,74.0,Israel,Netanya,Real estate,Real Estate,Israel,True,M,7/7/1948 0:00,Tshuva,Yitzhak,108.15,"$395,098,666,122 ",9053300.0,31.046051,34.851612
766,3.7,Manufacturing,Wang Yanqing & family,56.0,China,Wuxi,Electrical equipment,Manufacturing,China,True,M,4/7/1966 0:00,Wang,Yanqing,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
787,3.6,Diversified,Rajiv Bajaj,56.0,India,Pune,Diversified,Diversified,India,False,M,12/21/1966 0:00,Bajaj,Rajiv,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
787,3.6,Diversified,Sanjiv Bajaj,53.0,India,Pune,Diversified,Diversified,India,False,M,11/2/1969 0:00,Bajaj,Sanjiv,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
787,3.6,Finance & Investments,Leonid Boguslavsky,71.0,Italy,Florence,Venture capital,Finance & Investments,Canada,True,M,6/17/1951 0:00,Boguslavsky,Leonid,110.62,"$2,001,244,392,042 ",60297396.0,41.87194,12.56738
787,3.6,Finance & Investments,Jim Coulter,63.0,United States,San Francisco,Private equity,Finance & Investments,United States,True,M,12/1/1959 0:00,Coulter,Jim,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
787,3.6,Automotive,Nicolas D'Ieteren,47.0,Switzerland,Anzere,"Auto parts, distribution",Automotive,Belgium,False,M,4/13/1975 0:00,D'Ieteren,Nicolas ,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
787,3.6,Food & Beverage,Beatriz Davila de Santo Domingo,84.0,Bermuda,,Beer,Food & Beverage,Colombia,False,F,3/7/1939 0:00,Davila de Santo Domingo,Beatriz,,,,,
787,3.6,Real Estate,Bob Gaglardi,82.0,Canada,Vancouver,Hotels,Real Estate,Canada,True,M,2/19/1941 0:00,Gaglardi,Bob,116.76,"$1,736,425,629,520 ",36991981.0,56.130366,-106.346771
787,3.6,Finance & Investments,Jaime Gilinski Bacal,65.0,United Kingdom,London,Banking,Finance & Investments,Colombia,False,M,12/14/1957 0:00,Gilinski Bacal,Jaime,119.62,"$2,827,113,184,696 ",66834405.0,55.378051,-3.435973
787,3.6,Gambling & Casinos,Pansy Ho,60.0,Hong Kong,Hong Kong,Casinos,Gambling & Casinos,Hong Kong,False,F,8/26/1962 0:00,Ho,Pansy,,,,,
787,3.6,Finance & Investments,Alan Howard,59.0,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,True,M,9/1/1963 0:00,Howard,Alan,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
787,3.6,Automotive,Huang Yi,61.0,China,Beijing,Car dealerships,Automotive,Hong Kong,True,M,1/1/1962 0:00,Huang,Yi,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
787,3.6,Finance & Investments,Peter Kellogg,80.0,United States,Short Hills,Investments,Finance & Investments,United States,False,M,9/1/1942 0:00,Kellogg,Peter,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
787,3.6,Finance & Investments,Vyacheslav Kim,53.0,Kazakhstan,Almaty,Fintech,Finance & Investments,Kazakhstan,True,M,6/12/1969 0:00,Kim,Vyacheslav,182.75,"$180,161,741,180 ",18513930.0,48.019573,66.923684
787,3.6,Finance & Investments,Josh Kushner,37.0,United States,New York City,Venture capital,Finance & Investments,United States,True,M,6/12/1985 0:00,Kushner,Josh,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
787,3.6,Real Estate,Samuel Tak Lee,83.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,M,4/9/1939 0:00,Lee,Samuel Tak,,,,,
787,3.6,Real Estate,Edwin Leong,71.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,M,12/4/1951 0:00,Leong,Edwin,,,,,
787,3.6,Finance & Investments,"Stephen Mandel, Jr.",67.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,3/12/1956 0:00,Mandel,Stephen,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
787,3.6,Diversified,Mohamed Mansour,75.0,United Kingdom,London,Diversified,Diversified,Egypt,True,M,1/23/1948 0:00,Mansour,Mohamed,119.62,"$2,827,113,184,696 ",66834405.0,55.378051,-3.435973
787,3.6,Fashion & Retail,Masahiro Miki,67.0,Japan,Tokyo,Shoes,Fashion & Retail,Japan,True,M,7/26/1955 0:00,Miki,Masahiro,105.48,"$5,081,769,542,380 ",126226568.0,36.204824,138.252924
787,3.6,Technology,Masahiro Noda,84.0,Japan,Tokyo,Software,Technology,Japan,True,M,8/24/1938 0:00,Noda,Masahiro,105.48,"$5,081,769,542,380 ",126226568.0,36.204824,138.252924
787,3.6,Technology,Cliff Obrecht,37.0,Australia,Sydney,Software,Technology,Australia,True,M,12/28/1985 0:00,Obrecht,Cliff,119.8,"$1,392,680,589,329 ",25766605.0,-25.274398,133.775136
787,3.6,Technology,Melanie Perkins,35.0,Australia,Sydney,Software,Technology,Australia,True,F,5/13/1987 0:00,Perkins,Melanie,119.8,"$1,392,680,589,329 ",25766605.0,-25.274398,133.775136
787,3.6,Finance & Investments,J.B. Pritzker,58.0,United States,Springfield,"Hotels, investments",Finance & Investments,United States,False,M,1/19/1965 0:00,Pritzker,J.B.,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
787,3.6,Fashion & Retail,Juan Roig,73.0,Spain,Valencia,Supermarkets,Fashion & Retail,Spain,False,M,10/8/1949 0:00,Roig,Juan,110.96,"$1,394,116,310,769 ",47076781.0,40.463667,-3.74922
787,3.6,Real Estate,Jerry Speyer & family,82.0,United States,New York,Real estate,Real Estate,United States,True,M,6/23/1940 0:00,Speyer,Jerry,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
787,3.6,Fashion & Retail,Lawrence Stroll,63.0,Switzerland,Geneva,Fashion investments,Fashion & Retail,Canada,True,M,7/11/1959 0:00,Stroll,Lawrence,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
787,3.6,Logistics,Tung Chee Chen,80.0,Hong Kong,Hong Kong,Shipping,Logistics,Hong Kong,False,M,12/15/1942 0:00,Tung,Chee Chen,,,,,
787,3.6,Food & Beverage,Wang Junlin,60.0,China,Chengdu,Liquor,Food & Beverage,China,True,M,9/1/1962 0:00,Wang,Junlin,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
787,3.6,Automotive,Xia Zuoquan,61.0,China,Shenzhen,"Automobiles, batteries",Automotive,China,True,M,1/1/1962 0:00,Xia,Zuoquan,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
787,3.6,Technology,Zeng Fangqin,57.0,China,Shenzhen,Smartphone components,Technology,China,True,F,12/25/1965 0:00,Zeng,Fangqin,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
787,3.6,Manufacturing,Zhang Jian,54.0,China,Tianjin,"Electric bikes, scooters",Manufacturing,China,True,M,1/1/1969 0:00,Zhang,Jian,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
818,3.5,Fashion & Retail,Rocco Basilico,33.0,United States,Los Angeles,Eyeglasses,Fashion & Retail,Italy,False,M,7/11/1989 0:00,Basilico,Rocco,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
818,3.5,Healthcare,Maurizio Billi,65.0,Brazil,Sao Paulo,Generic drugs,Healthcare,Brazil,False,M,11/22/1957 0:00,Billi,Maurizio,167.4,"$1,839,758,040,766 ",212559417.0,-14.235004,-51.92528
818,3.5,Finance & Investments,Fashu Chen,62.0,China,Fuzhou,Investments,Finance & Investments,China,True,M,10/26/1960 0:00,Chen,Fashu,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
818,3.5,Manufacturing,Giuseppe Crippa & family,87.0,Italy,Cernusco Lombardone,Microchip testing,Manufacturing,Italy,True,M,5/5/1935 0:00,Crippa,Giuseppe,110.62,"$2,001,244,392,042 ",60297396.0,41.87194,12.56738
818,3.5,Finance & Investments,Daniel D'Aniello,76.0,United States,Vienna,Private equity,Finance & Investments,United States,True,M,9/14/1946 0:00,D'Aniello,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
818,3.5,Fashion & Retail,Claudio Del Vecchio,66.0,United States,Muttontown,Eyeglasses,Fashion & Retail,Italy,False,M,2/26/1957 0:00,Del Vecchio,Claudio,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
818,3.5,Fashion & Retail,Clemente Del Vecchio,18.0,Italy,Milan,Eyeglases,Fashion & Retail,Italy,False,M,5/6/2004 0:00,Del Vecchio,Clemente,110.62,"$2,001,244,392,042 ",60297396.0,41.87194,12.56738
818,3.5,Fashion & Retail,Leonardo Maria Del Vecchio,27.0,Italy,Milan,Eyeglasses,Fashion & Retail,Italy,False,M,5/6/1995 0:00,Del Vecchio,Leonardo Maria,110.62,"$2,001,244,392,042 ",60297396.0,41.87194,12.56738
818,3.5,Fashion & Retail,Luca Del Vecchio,21.0,Italy,Milan,Eyeglasses,Fashion & Retail,Italy,False,M,8/31/2001 0:00,Del Vecchio,Luca,110.62,"$2,001,244,392,042 ",60297396.0,41.87194,12.56738
818,3.5,Fashion & Retail,Marisa Del Vecchio,64.0,Italy,Rome,Eyeglasses,Fashion & Retail,Italy,False,F,7/10/1958 0:00,Del Vecchio,Marisa,110.62,"$2,001,244,392,042 ",60297396.0,41.87194,12.56738
818,3.5,Fashion & Retail,Paola Del Vecchio,61.0,Luxembourg,Luxembourg,Eyeglasses,Fashion & Retail,Italy,False,F,5/14/1961 0:00,Del Vecchio,Paola,115.09,"$71,104,919,108 ",645397.0,49.815273,6.129583
818,3.5,Finance & Investments,Walter P.J. Droege,70.0,Germany,Dusseldorf,Investing,Finance & Investments,Germany,True,M,11/25/1952 0:00,Droege,Walter P.J.,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
818,3.5,Fashion & Retail,Fan Daidi,57.0,China,Xian,Skincare,Fashion & Retail,China,True,F,1/1/1966 0:00,Fan ,Daidi,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
818,3.5,Technology,Peter Gassner,58.0,United States,Pleasanton,Software,Technology,United States,True,M,2/26/1965 0:00,Gassner,Peter,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
818,3.5,Energy,Mikhail Gutseriev,65.0,Russia,Moscow,"Oil, coal, real estate",Energy,Russia,True,M,3/9/1958 0:00,Gutseriev,Mikhail,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756
818,3.5,Manufacturing,Patrick Lee,81.0,Hong Kong,Hong Kong,Paper,Manufacturing,Hong Kong,True,M,1/1/1942 0:00,Lee,Patrick,,,,,
818,3.5,Food & Beverage,Leng Youbin,54.0,China,Beijing,Infant formula,Food & Beverage,China,True,M,1/1/1969 0:00,Leng,Youbin,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
818,3.5,Finance & Investments,Daniel Loeb,61.0,United States,New York,Hedge funds,Finance & Investments,United States,True,M,12/18/1961 0:00,Loeb,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
818,3.5,Food & Beverage,Margarita Louis-Dreyfus & family,60.0,Switzerland,Davos,Commodities,Food & Beverage,Switzerland,False,F,6/1/1962 0:00,Louis-Dreyfus,Margarita,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
818,3.5,Healthcare,Prasert Prasarttong-Osoth,90.0,Thailand,Bangkok,Hospitals,Healthcare,Thailand,True,M,3/26/1933 0:00,Prasarttong-Osoth,Prasert,113.27,"$543,649,976,166 ",69625582.0,15.870032,100.992541
818,3.5,Finance & Investments,Ira Rennert,88.0,United States,New York,Investments,Finance & Investments,United States,True,M,5/31/1934 0:00,Rennert,Ira,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
818,3.5,Fashion & Retail,Dirk Rossmann & family,76.0,Germany,Lower-Saxony,Drugstores,Fashion & Retail,Germany,True,M,9/7/1946 0:00,Rossmann,Dirk,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
818,3.5,Construction & Engineering,Arkady Rotenberg,71.0,Russia,Moscow,"Construction, pipes, banking",Construction & Engineering,Russia,True,M,12/15/1951 0:00,Rotenberg,Arkady,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756
818,3.5,Fashion & Retail,Remo Ruffini,61.0,Italy,Como,Winter jackets,Fashion & Retail,Italy,True,M,8/27/1961 0:00,Ruffini,Remo,110.62,"$2,001,244,392,042 ",60297396.0,41.87194,12.56738
818,3.5,Healthcare,Karin Sartorius-Herbst,,Germany,Northeim,Biopharmaceuticals,Healthcare,Germany,False,F,,Sartorius-Herbst,Karin,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
818,3.5,Automotive,Vivek Chaand Sehgal,66.0,India,Delhi,Auto parts,Automotive,Australia,True,M,9/28/1956 0:00,Sehgal,Vivek Chaand,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
818,3.5,Finance & Investments,Scott Shleifer,45.0,United States,New York,Private equity,Finance & Investments,United States,True,M,6/14/1977 0:00,Shleifer,Scott,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
818,3.5,Technology,Thomas Siebel,70.0,United States,Woodside,Business software,Technology,United States,True,M,11/22/1952 0:00,Siebel,Thomas,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
818,3.5,Manufacturing,Wim van der Leegte & family,75.0,Netherlands,Eindhoven,Manufacturing,Manufacturing,Netherlands,False,M,8/23/1947 0:00,van der Leegte,Wim,115.91,"$909,070,395,161 ",17332850.0,52.132633,5.291266
818,3.5,Diversified,Xiao Yongming & family,58.0,China,Beijing,Fertilizer,Diversified,China,True,M,7/1/1964 0:00,Xiao,Yongming,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
818,3.5,Technology,Michael Xie,54.0,United States,Los Altos Hills,Cybersecurity,Technology,United States,True,M,2/20/1969 0:00,Xie,Michael,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
818,3.5,Logistics,Yang Shaopeng,65.0,China,Qingdao,Shipping,Logistics,China,True,M,1/1/1958 0:00,Yang,Shaopeng,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
818,3.5,Fashion & Retail,Nicoletta Zampillo,65.0,Monaco,Monaco,Eyeglasses,Fashion & Retail,Italy,False,F,3/28/1958 0:00,Zampillo,Nicoletta,,"$7,184,844,193 ",38964.0,43.7384176,7.4246158
818,3.5,Manufacturing,Barry Zekelman,56.0,Canada,Windsor,Steel,Manufacturing,Canada,False,M,1/3/1967 0:00,Zekelman,Barry,116.76,"$1,736,425,629,520 ",36991981.0,56.130366,-106.346771
852,3.4,Finance & Investments,William Ackman,56.0,United States,New York,Hedge funds,Finance & Investments,United States,True,M,5/11/1966 0:00,Ackman,William,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
852,3.4,Energy,Somphote Ahunai,55.0,Thailand,Bangkok,Renewable energy,Energy,Thailand,True,M,6/1/1967 0:00,Ahunai,Somphote,113.27,"$543,649,976,166 ",69625582.0,15.870032,100.992541
852,3.4,Metals & Mining,Igor Altushkin,52.0,Russia,Yekaterinburg,Metals,Metals & Mining,Russia,True,M,9/10/1970 0:00,Altushkin,Igor,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756
852,3.4,Food & Beverage,Ramon Ang,69.0,Philippines,Manila,Diversified,Food & Beverage,Philippines,True,M,1/14/1954 0:00,Ang,Ramon,129.61,"$376,795,508,680 ",108116615.0,12.879721,121.774017
852,3.4,Food & Beverage,Acharya Balkrishna,50.0,India,Haridwar,Consumer goods,Food & Beverage,India,True,M,7/25/1972 0:00,Balkrishna,Acharya,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
852,3.4,Manufacturing,Markus Blocher,52.0,Switzerland,Wilen bei Wollerau,Chemicals,Manufacturing,Switzerland,False,M,1/1/1971 0:00,Blocher,Markus,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
852,3.4,Diversified,Richard Branson,72.0,British Virgin Islands,Necker Island,Virgin,Diversified,United Kingdom,True,M,7/18/1950 0:00,Branson,Richard,,,,,
852,3.4,Finance & Investments,Cho Jung-ho,64.0,South Korea,Seoul,Finance,Finance & Investments,South Korea,False,M,10/5/1958 0:00,Cho,Jung-ho,115.16,"$2,029,000,000,000 ",51709098.0,35.907757,127.766922
